x1,x2,y1,y2
-160.107,517.953,-1.268,-2.538
-157.65,519.021,-1.168,-2.498
-155.232,519.99,-1.068,-2.458
-152.855,520.858,-0.968,-2.418
-150.517,521.626,-0.868,-2.378
-148.219,522.295,-0.768,-2.338
-145.962,522.863,-0.668,-2.298
-143.744,523.331,-0.568,-2.258
-141.567,523.699,-0.468,-2.218
-139.429,523.968,-0.368,-2.178
-137.332,524.136,-0.268,-2.138
-135.274,524.204,-0.168,-2.098
-133.257,524.172,-0.068,-2.058
-131.279,524.041,0.032,-2.018
-129.342,523.809,0.132,-1.978
-127.444,523.477,0.232,-1.938
-125.587,523.046,0.332,-1.898
-123.769,522.514,0.432,-1.858
-121.991,521.882,0.532,-1.818
-120.254,521.15,0.632,-1.778
-118.556,520.319,0.732,-1.738
-116.799,519.56,0.832,-1.698
-114.981,518.875,0.759,-1.758
-113.104,518.263,0.685,-1.818
-111.166,517.724,0.612,-1.878
-109.169,517.258,0.539,-1.938
-107.111,516.866,0.466,-1.998
-104.994,516.546,0.392,-2.058
-102.816,516.3,0.319,-2.118
-100.578,516.127,0.246,-2.178
-98.281,516.028,0.173,-2.238
-95.923,516.001,0.1,-2.298
-93.506,516.048,0.026,-2.358
-91.028,516.168,-0.047,-2.418
-88.491,516.361,-0.12,-2.478
-85.993,516.454,-0.193,-2.538
-83.536,516.447,-0.093,-2.498
-81.118,516.341,0.007,-2.458
-78.741,516.134,0.107,-2.418
-76.403,515.827,0.207,-2.378
-74.106,515.42,0.307,-2.338
-71.848,514.913,0.407,-2.298
-69.63,514.306,0.507,-2.258
-67.453,513.599,0.607,-2.218
-65.315,512.793,0.707,-2.178
-63.218,511.886,0.807,-2.138
-61.16,510.879,0.907,-2.098
-59.143,509.772,1.007,-2.058
-57.165,508.565,1.107,-2.018
-55.228,507.258,1.207,-1.978
-53.33,505.851,1.307,-1.938
-51.473,504.345,1.407,-1.898
-49.655,502.738,1.507,-1.858
-47.878,501.031,1.607,-1.818
-46.14,499.224,1.707,-1.778
-44.442,497.317,1.807,-1.738
-42.785,495.31,1.907,-1.698
-41.167,493.204,2.007,-1.658
-39.59,490.997,2.107,-1.618
-38.052,488.69,2.207,-1.578
-36.555,486.283,2.307,-1.538
-35.097,483.776,2.407,-1.498
-33.68,481.169,2.507,-1.458
-32.302,478.462,2.607,-1.418
-30.965,475.656,2.707,-1.378
-29.667,472.749,2.807,-1.338
-28.41,469.742,2.907,-1.298
-27.192,466.635,3.007,-1.258
-26.014,463.428,3.107,-1.218
-24.877,460.121,3.207,-1.178
-23.779,456.714,3.307,-1.138
-22.722,453.208,3.407,-1.098
-21.704,449.601,3.507,-1.058
-20.727,445.894,3.607,-1.018
-19.789,442.087,3.707,-0.978
-18.892,438.18,3.807,-0.938
-18.034,434.173,3.907,-0.898
-17.217,430.066,4.007,-0.858
-16.439,425.86,4.107,-0.818
-15.701,421.553,4.207,-0.778
-15.004,417.146,4.307,-0.738
